nflverse_game_id,week,posteam,defteam,p_113,p_122,p_221,p_131,p_212,p_014,p_103,p_112,p_111,p_104,p_121,p_230,p_211,p_120,p_023,p_130,p_140,p_123,p_114,p_203,p_220,p_234,p_032,p_102,p_202,p_132,p_041,p_311,p_005,p_141,p_031,p_020,p_320,p_010,p_110,p_022,p_213,p_001,p_101,p_301,p_040
2025_02_SF_NO,2,NO,SF,0.575092396024484,-5.36826189229032,0,-0.5480557505507022,1.660793874412775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_SF_NO,2,SF,NO,9.618728942724415,-2.135261856659781,2.0875738938339055,-0.5011051621986553,-3.005358970258385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_BUF_NYJ,2,NYJ,BUF,-10.608265639867177,-5.127955049159937,0,0,1.089955986943096,0,0,0,0,0,0,0,0.7659722606185824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_BUF_NYJ,2,BUF,NYJ,10.371705527857502,2.36804280616343,-0.19778434396721423,3.78864299929473,-0.9765660227858461,0,0,0,0,0,0.24928152561187744,0,0,0,-0.8972745577929615,0,0,0,0,0,0,0,1.2509052243549377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_SEA_PIT,2,SEA,PIT,-0.7097422528461008,9.993865316966549,-7.023595107137226,-0.03994421771494672,-2.9196367729455233,0,0,0,0,0,0,0,0,0,4.751648866030402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_SEA_PIT,2,PIT,SEA,1.3498730030260049,-9.481087290802312,0,-2.16900153642751,-1.5471946038596798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841586961178109,1.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_LA_TEN,2,TEN,LA,-12.03663648993789,1.6006385680520907,0,0,0,0,0,0,0,0,2.785128412535414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_LA_TEN,2,LA,TEN,15.155461979398886,5.745412837975891,0,0,0,0,0,0,0,-0.38249560724943876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_CAR_ARI,2,CAR,ARI,3.9979685538506744,-2.139610812257044,3.6758459475822747,0,-0.9719583538244478,0,0,0,0,0,-0.5231919654179364,0,0,0,0,-0.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_CAR_ARI,2,ARI,CAR,-0.9703651957495327,6.254300223488826,0,-1.9578061738866381,0,0,0,0,0,0,-0.33262643148191273,0,0,1.6470317634521052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_DEN_IND,2,IND,DEN,12.647778269362158,2.4226121359388344,0,-5.681251412490383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_DEN_IND,2,DEN,IND,15.398078211836152,-3.447929667250719,3.182588831987232,0,-0.8162636372726411,0,0,0,0,0,-1.3450656462810002,0,0,0,0,0,0,0,0,0,0.5171892014914192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_PHI_KC,2,PHI,KC,-4.56546210874912,7.274042369273957,0,-1.8303481903276406,0,0,0,0.03667033213423565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_PHI_KC,2,KC,PHI,0.23176328758081777,-0.12267951160902157,1.4068106696358882,-0.1028509121388197,-4.019381553636706,0,0,0,0,0,0,0,0,0,0,-3.813302053255029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_ATL_MIN,2,ATL,MIN,-2.684167517774232,0.4538657127360963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_ATL_MIN,2,MIN,ATL,-18.566372424757112,-1.4356821223627776,0,0,-1.533583389944397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_LAC_LV,2,LV,LAC,-19.15830323875401,-3.5160434888093732,1.0078720146557316,-0.9034570176154375,0,0,0,0,0,0,-1.647614186629653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_LAC_LV,2,LAC,LV,7.631478663068265,0.7787551586516201,0,0,0,-0.015854654018767178,1.3472104407846928,-7.089886776753701,0.12163398810662329,4.615162367797504,-6.363941568299197,0,0,-2.8942789974162006,0,0,0,0,0,0,0,0,0,-0.38111723808106035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_TB_HOU,2,HOU,TB,-1.8807862050764315,-3.7196624205680564,0,0,0.18539537058677524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4695004205568694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_TB_HOU,2,TB,HOU,8.659838233035702,3.0867911607492715,0,0,0.42231407086364925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_MIA_BUF,3,MIA,BUF,1.4667406646767631,0,0,0,-1.0698330016457476,0,0,0,0,1.6693707818049006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_MIA_BUF,3,BUF,MIA,13.027451956765779,1.4139460234437138,-2.3829511283547617,1.3614044431014918,0.7836322002112865,0,0,-0.41357883089222014,0,0,1.2418541174265556,0,0,0,0.6268720812086956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_ATL_CAR,3,ATL,CAR,-19.97821685209705,-2.402395661221817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_ATL_CAR,3,CAR,ATL,-3.9151511434576625,-0.3965869735635543,0,1.3458231615368277,0.20731793297454715,0,0,0,0,0,2.425542840559501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
